,opponent_name,levski_goals,opponent_goals,result,coach,hosted,scorers,date,tournament,top_scorer,no_of_penalties
184,Черно море (Варна),5,2,win,Стойчо Стоев,True,"['Либан Абди', 'Петър Златинов', 'Божидар Краев', 'Валери Домовчийски', 'Симеон Райков', 'Мамуту Кулибали (аг)', 'Борислав Цонев']",2015-04-03,"""А"" Футболна група - втори етап",Валери Домовчийски,0
185,Славия 1913 (София),0,1,loss,Стойчо Стоев,False,,2015-04-11,"""А"" Футболна група - втори етап",,0
186,Локомотив 1926 (Пловдив),5,0,win,Стойчо Стоев,True,"['Валери Домовчийски', 'Роман Прохазка', 'Антонио Салас', 'Антонио Салас', 'Либан Абди', 'Антонио Салас']",2015-04-17,"""А"" Футболна група - втори етап",Антонио Салас,0
187,Марек 2010 (Дупница),3,1,win,Стойчо Стоев,False,"['Лукаш Гикевич', 'Димитър Димитров', 'Луис Педро', 'Борислав Цонев']",2015-04-25,"""А"" Футболна група - втори етап",Лукаш Гикевич,0
188,Хасково 2009 (Хасково),5,0,win,Стойчо Стоев,False,"['Мигел Бедоя', 'Божидар Краев', 'Антонио Салас', 'Мигел Бедоя', 'Мики Орачев']",2015-05-04,"""А"" Футболна група - втори етап",Мигел Бедоя,0
189,Черно море (Варна),2,0,win,Стойчо Стоев,False,"['Валери Домовчийски', 'Мигел Бедоя']",2015-05-09,"""А"" Футболна група - втори етап",Валери Домовчийски,0
190,Славия 1913 (София),2,3,loss,Стойчо Стоев,True,"['Димитър Пиргов', 'Радослав Цонев', 'Петър Атанасов', 'Жереми Манзоро', 'Радослав Цонев']",2015-05-16,"""А"" Футболна група - втори етап",Радослав Цонев,0
191,Локомотив 1926 (Пловдив),1,0,win,Стойчо Стоев,False,['Владимир Гаджев'],2015-05-22,"""А"" Футболна група - втори етап",Владимир Гаджев,0
192,Марек 2010 (Дупница),6,0,win,Стойчо Стоев,True,"['Божидар Краев', 'Божидар Краев', 'Борислав Цонев', 'Божидар Краев', 'Антонио Салас', 'Антонио Салас']",2015-05-26,"""А"" Футболна група - втори етап",Божидар Краев,0
193,Спартак 1918 (Варна),7,1,win,Георги Иванов,False,"['Мирослав Иванов', 'Радослав Цонев', 'Божидар Краев', 'Божидар Краев', 'Владислав Мисяк', 'Валери Домовчийски', 'Божидар Краев', 'Диян Малчев']",2014-09-23,Купа на България,Божидар Краев,0
194,Монтана 1921 (Монтана),0,2,loss,Георги Иванов,False,,2014-10-29,Купа на България,,0
195,Монтана 1921 (Монтана),4,0,win,Георги Иванов,True,"['Антонио Салас', 'Аймен Белаид', 'Валери Домовчийски', 'Мигел Бедоя']",2014-12-03,Купа на България,Валери Домовчийски,0
196,Хасково 2009 (Хасково),3,0,win,Стойчо Стоев,True,"['Валери Домовчийски', 'Валери Домовчийски', 'Тихомир Трифонов (аг)']",2015-02-21,Купа на България,Валери Домовчийски,0
197,Хасково 2009 (Хасково),1,1,tie,Стойчо Стоев,False,"['Лукаш Гикевич', 'Станислав Маламов']",2015-03-03,Купа на България,Лукаш Гикевич,0
198,Лудогорец 1945 (Разград),0,0,tie,Стойчо Стоев,False,,2015-04-08,Купа на България,,0
199,Лудогорец 1945 (Разград),1,0,win,Стойчо Стоев,True,['Антонио Салас'],2015-04-29,Купа на България,Антонио Салас,0
200,Черно море (Варна),1,2,loss,Стойчо Стоев,False,"['Антонио Салас', 'Бакари', 'Матиас Курьор']",2015-05-30,Купа на България,Антонио Салас,0
201,Ботев (Пловдив),1,1,tie,Стойчо Стоев,False,"['Георги Костадинов', 'Мариян Огнянов', 'Даниел Генов']",2015-07-18,"""А"" Футболна група",Даниел Генов,0
202,Лудогорец 1945 (Разград),0,2,loss,Стойчо Стоев,False,,2015-08-01,"""А"" Футболна група",,0
203,Черно море (Варна),1,0,win,Стойчо Стоев,False,['Борислав Цонев'],2015-08-08,"""А"" Футболна група",Борислав Цонев,0
204,Монтана 1921 (Монтана),2,0,win,Явор Вълчинов,True,"['Божидар Краев', 'Божидар Краев']",2015-08-15,"""А"" Футболна група",Божидар Краев,0
205,Локомотив 1926 (Пловдив),0,1,loss,Стойчо Стоев,False,,2015-08-23,"""А"" Футболна група",,0
206,Пирин (Благоевград),0,0,tie,Стойчо Стоев,True,,2015-08-30,"""А"" Футболна група",,0
207,Славия 1913 (София),1,0,win,Стойчо Стоев,False,['Омар Диаби'],2015-09-13,"""А"" Футболна група",Омар Диаби,0
208,Берое (Стара Загора),2,0,win,Стойчо Стоев,True,"['Владимир Гаджев', 'Роман Прохазка']",2015-09-20,"""А"" Футболна група",Роман Прохазка,0
209,Ботев (Пловдив),1,0,win,Стойчо Стоев,True,['Георги Костадинов'],2015-09-28,"""А"" Футболна група",Георги Костадинов,0
210,Лудогорец 1945 (Разград),1,1,tie,Стойчо Стоев,True,"['Живко Миланов', 'Клаудиу Кешерю']",2015-10-18,"""А"" Футболна група",Живко Миланов,0
211,Черно море (Варна),1,0,win,Стойчо Стоев,True,['Максимилиан Карнер'],2015-10-23,"""А"" Футболна група",Максимилиан Карнер,0
212,Монтана 1921 (Монтана),2,0,win,Стойчо Стоев,False,"['Роман Прохазка', 'Божидар Краев']",2015-11-02,"""А"" Футболна група",Роман Прохазка,0
213,Локомотив 1926 (Пловдив),1,0,win,Стойчо Стоев,True,['Мигел Бедоя'],2015-11-08,"""А"" Футболна група",Мигел Бедоя,0
214,Пирин (Благоевград),0,1,loss,Стойчо Стоев,False,,2015-11-22,"""А"" Футболна група",,0
215,Славия 1913 (София),2,0,win,Стойчо Стоев,True,"['Роман Прохазка', 'Джереми де Нойер']",2015-11-29,"""А"" Футболна група",Роман Прохазка,0
216,Берое (Стара Загора),0,1,loss,Стойчо Стоев,False,,2015-12-02,"""А"" Футболна група",,0
217,Ботев (Пловдив),0,0,tie,Стойчо Стоев,False,,2015-12-05,"""А"" Футболна група",,0
218,Лудогорец 1945 (Разград),1,2,loss,Стойчо Стоев,False,"['Вандерсон', 'Лукас Саша', 'Роман Прохазка']",2016-02-21,"""А"" Футболна група",Вандерсон,0
219,Черно море (Варна),2,0,win,Стойчо Стоев,False,"['Георги Костадинов', 'Мигел Бедоя']",2016-02-27,"""А"" Футболна група",Георги Костадинов,0
220,Монтана 1921 (Монтана),0,0,tie,Стойчо Стоев,True,,2016-03-02,"""А"" Футболна група",,0
221,Локомотив 1926 (Пловдив),1,1,tie,Стойчо Стоев,False,"['Ванчо Траянов', 'Венцислав Христов']",2016-03-05,"""А"" Футболна група",Венцислав Христов,0
222,Пирин (Благоевград),3,1,win,Стойчо Стоев,True,"['Стилиян Николов', 'Мигел Бедоя', 'Венцислав Христов', 'Франсис Нар']",2016-03-13,"""А"" Футболна група",Стилиян Николов,0
223,Славия 1913 (София),0,0,tie,Стойчо Стоев,False,,2016-03-19,"""А"" Футболна група",,0
224,Берое (Стара Загора),1,0,win,Стойчо Стоев,True,['Венцислав Христов'],2016-04-02,"""А"" Футболна група",Венцислав Христов,0
225,Ботев (Пловдив),3,0,win,Стойчо Стоев,True,"['Венцислав Христов', 'Роман Прохазка', 'Роман Прохазка']",2016-04-09,"""А"" Футболна група",Роман Прохазка,0
226,Лудогорец 1945 (Разград),0,0,tie,Стойчо Стоев,True,,2016-04-23,"""А"" Футболна група",,0
227,Черно море (Варна),5,1,win,Стойчо Стоев,True,"['Божидар Краев', 'Даниел Георгиев', 'Венцислав Христов', 'Венцислав Христов', 'Венцислав Христов', 'Мигел Бедоя']",2016-04-28,"""А"" Футболна група",Венцислав Христов,0
228,Монтана 1921 (Монтана),1,0,win,Стойчо Стоев,False,['Мигел Бедоя'],2016-05-06,"""А"" Футболна група",Мигел Бедоя,0
229,Локомотив 1926 (Пловдив),2,3,loss,Стойчо Стоев,True,"['Венцислав Христов', 'Мигел Бедоя', 'Веселин Минев', 'Мартин Камбуров', 'Бирсент Карагарен']",2016-05-10,"""А"" Футболна група",Бирсент Карагарен,0
230,Пирин (Благоевград),1,0,win,Стойчо Стоев,False,['Александър Александров'],2016-05-15,"""А"" Футболна група",Александър Александров,0
231,Славия 1913 (София),0,1,loss,Елин Топузаков,True,,2016-05-22,"""А"" Футболна група",,0
232,Берое (Стара Загора),1,2,loss,Елин Топузаков,False,"['Георги Костадинов', 'Елиаш', 'Иво Иванов']",2016-05-28,"""А"" Футболна група",Елиаш,0
233,Несебър,3,1,win,Стойчо Стоев,False,"['Божидар Краев', 'Мигел Бедоя', 'Божидар Краев', 'Николай Костов']",2015-10-28,Купа на България,Божидар Краев,0
234,Литекс (Ловеч),0,3,loss,Стойчо Стоев,False,,2015-12-08,Купа на България,,0
235,Монтана 1921 (Монтана),0,0,tie,Люпко Петрович,True,,2016-07-31,Първа професионална лига - първи етап,,0
236,Локомотив 1926 (Пловдив),2,2,tie,Люпко Петрович,False,"['Веселин Марчев', 'Франсис Нар', 'Бабатунде Адениджи', 'Мартин Камбуров (д)']",2016-08-07,Първа професионална лига - първи етап,Веселин Марчев,1
237,Лудогорец 1945 (Разград),1,0,win,Люпко Петрович,True,['Божидар Краев'],2016-08-13,Първа професионална лига - първи етап,Божидар Краев,0
238,Славия 1913 (София),4,0,win,Люпко Петрович,False,"['Антонио Салас', 'Бабатунде Адениджи', 'Георги Костадинов', 'Божидар Краев']",2016-08-21,Първа професионална лига - първи етап,Антонио Салас,0
239,Верея (Стара Загора),4,0,win,Люпко Петрович,True,"['Франсис Нар', 'Божидар Краев', 'Илиас Хасани (аг)', 'Антонио Салас']",2016-08-28,Първа професионална лига - първи етап,Божидар Краев,0
240,Нефтохимик 1962 (Бургас),2,1,win,Люпко Петрович,False,"['Роман Прохазка', 'Иван Вълчанов', 'Роман Прохазка']",2016-09-10,Първа професионална лига - първи етап,Роман Прохазка,0
241,Пирин (Благоевград),2,0,win,Люпко Петрович,True,"['Димитър Пиргов', 'Бабатунде Адениджи']",2016-09-17,Първа професионална лига - първи етап,Бабатунде Адениджи,0
242,Локомотив (Горна Оряховица),1,0,win,Люпко Петрович,False,['Мартин Кавдански (аг)'],2016-09-26,Първа професионална лига - първи етап,Мартин Кавдански (аг),0
243,Дунав 2010 (Русе),2,0,win,Люпко Петрович,True,"['Георги Костадинов', 'Георги Костадинов']",2016-10-02,Първа професионална лига - първи етап,Георги Костадинов,0
244,ЦСКА-София (София),1,1,tie,Люпко Петрович,False,"['Франсис Нар', 'Преслав Йорданов (д)']",2016-10-15,Първа професионална лига - първи етап,Франсис Нар,1
245,Берое (Стара Загора),2,0,win,Елин Топузаков,True,"['Антонио Салас', 'Георги Костадинов']",2016-10-22,Първа професионална лига - първи етап,Антонио Салас,0
246,Ботев (Пловдив),1,1,tie,Елин Топузаков,False,"['Жоао Пауло', 'Роман Прохазка']",2016-10-30,Първа професионална лига - първи етап,Роман Прохазка,0
247,Черно море (Варна),1,0,win,Елин Топузаков,True,['Роман Прохазка'],2016-11-04,Първа професионална лига - първи етап,Роман Прохазка,0
248,Монтана 1921 (Монтана),3,1,win,Елин Топузаков,False,"['Божидар Краев', 'Костадин Дяков', 'Димитър Пиргов', 'Илиян Мицански']",2016-11-20,Първа професионална лига - първи етап,Илиян Мицански,0
249,Локомотив 1926 (Пловдив),1,2,loss,Елин Топузаков,True,"['Ясин Ел Харуби (аг)', 'Веселин Марчев', 'Мартин Камбуров (д)']",2016-11-26,Първа професионална лига - първи етап,Веселин Марчев,1
250,Лудогорец 1945 (Разград),1,2,loss,Елин Топузаков,False,"['Бабатунде Адениджи', 'Вандерсон', 'Марселиньо']",2016-11-30,Първа професионална лига - първи етап,Вандерсон,0
251,Славия 1913 (София),1,0,win,Елин Топузаков,True,['Мехди Бурабия'],2016-12-03,Първа професионална лига - първи етап,Мехди Бурабия,0
252,Верея (Стара Загора),1,0,win,Елин Топузаков,False,['Антонио Салас'],2016-12-10,Първа професионална лига - първи етап,Антонио Салас,0
253,Нефтохимик 1962 (Бургас),1,0,win,Елин Топузаков,True,['Бабатунде Адениджи'],2016-12-14,Първа професионална лига - първи етап,Бабатунде Адениджи,0
254,Пирин (Благоевград),0,1,loss,Елин Топузаков,False,,2017-02-18,Първа професионална лига - първи етап,,0
255,Локомотив (Горна Оряховица),1,1,tie,Елин Топузаков,True,"['Бабатунде Адениджи', 'Рахави Кифуети']",2017-02-25,Първа професионална лига - първи етап,Рахави Кифуети,0
256,Дунав 2010 (Русе),2,2,tie,Елин Топузаков,False,"['Бирсент Карагарен', 'Антон Огнянов', 'Мирослав Будинов', 'Роман Прохазка']",2017-02-28,Първа професионална лига - първи етап,Бирсент Карагарен,0
257,ЦСКА-София (София),2,1,win,Николай Митов,False,"['Арсенио Нунеш', 'Роман Прохазка', 'Давид Яблонски']",2017-03-04,Първа професионална лига - първи етап,Арсенио Нунеш,0
258,Берое (Стара Загора),0,1,loss,Николай Митов,False,,2017-03-12,Първа професионална лига - първи етап,,0
259,Ботев (Пловдив),2,0,win,Николай Митов,True,"['Роман Прохазка', 'Бабатунде Адениджи']",2017-03-19,Първа професионална лига - първи етап,Роман Прохазка,0
260,Черно море (Варна),0,1,loss,Николай Митов,False,,2017-04-01,Първа професионална лига - първи етап,,0
261,Локомотив 1926 (Пловдив),5,0,win,Николай Митов,True,"['Антонио Салас', 'Божидар Краев', 'Божидар Краев', 'Божидар Краев', 'Божидар Краев']",2017-04-09,Първа професионална лига - втори етап,Божидар Краев,0
262,Лудогорец 1945 (Разград),0,0,tie,Николай Митов,False,,2017-04-14,Първа професионална лига - втори етап,,0
263,Дунав 2010 (Русе),1,1,tie,Николай Митов,True,"['Мирослав Будинов (аг)', 'Самир Аясс']",2017-04-21,Първа професионална лига - втори етап,Самир Аясс,0
264,ЦСКА-София (София),0,3,loss,Николай Митов,False,,2017-04-29,Първа професионална лига - втори етап,,0
265,Черно море (Варна),1,0,win,Николай Митов,False,['Амаду Сукуна'],2017-05-07,Първа професионална лига - втори етап,Амаду Сукуна,0
266,Локомотив 1926 (Пловдив),1,2,loss,Николай Митов,False,"['Мартин Камбуров', 'Мехди Бурабия', 'Стефан Йевтоски']",2017-05-12,Първа професионална лига - втори етап,Стефан Йевтоски,0
267,Лудогорец 1945 (Разград),1,3,loss,Николай Митов,True,"['Марселиньо', 'Вандерсон', 'Давид Яблонски', 'Вандерсон']",2017-05-16,Първа професионална лига - втори етап,Вандерсон,0
268,Дунав 2010 (Русе),1,0,win,Николай Митов,False,['Божидар Краев'],2017-05-21,Първа професионална лига - втори етап,Божидар Краев,0
269,ЦСКА-София (София),0,3,loss,Николай Митов,False,,2017-05-28,Първа професионална лига - втори етап,,0
270,Черно море (Варна),2,2,tie,Николай Митов,True,"['Мартин Костадинов', 'Божидар Краев', 'Румен Касабов', 'Роман Прохазка']",2017-05-31,Първа професионална лига - втори етап,Божидар Краев,0
271,Царско село 2015 (София),2,0,win,Люпко Петрович,False,"['Бабатунде Адениджи', 'Хеан Деса']",2016-09-22,Купа на България,Хеан Деса,0
272,Черно море (Варна),2,3,loss,Елин Топузаков,True,"['Александър Цветков', 'Бакари', 'Бабатунде Адениджи', 'Димитър Пиргов', 'Александър Цветков']",2016-10-26,Купа на България,Александър Цветков,0
273,Марибор,0,0,tie,Люпко Петрович,False,,2016-07-14,Лига Европа,,0
274,Марибор,1,1,tie,Люпко Петрович,True,"['Франсис Нар', 'Таварес', 'Таварес']",2016-07-21,Лига Европа,Таварес,0
275,Лудогорец 1945 (Разград),0,0,tie,Делио Роси,True,,2017-09-06,Първа професионална лига - първи етап,,0
276,Локомотив 1926 (Пловдив),0,0,tie,Николай Митов,False,,2017-07-23,Първа професионална лига - първи етап,,0
277,Витоша (Бистрица),2,0,win,Николай Митов,True,"['Антонио Вутов', 'Серджиу Буш']",2017-07-30,Първа професионална лига - първи етап,Серджиу Буш,0
278,Верея (Стара Загора),0,2,loss,Асен Букарев,False,,2017-08-05,Първа професионална лига - първи етап,,0
279,Дунав 2010 (Русе),2,0,win,Делио Роси,True,"['Давид Яблонски', 'Серджиу Буш']",2017-08-13,Първа професионална лига - първи етап,Серджиу Буш,0
280,Пирин (Благоевград),3,0,win,Делио Роси,False,"['Жуниор Мапуку', 'Жуниор Мапуку', 'Жуниор Мапуку']",2017-08-18,Първа професионална лига - първи етап,Жуниор Мапуку,0
281,Славия 1913 (София),4,0,win,Делио Роси,True,"['Жорди Гомес', 'Жуниор Мапуку', 'Жорди Гомес', 'Серджиу Буш']",2017-08-26,Първа професионална лига - първи етап,Жорди Гомес,0
282,Ботев (Пловдив),1,2,loss,Делио Роси,False,"['Давид Яблонски', 'Тодор Неделев', 'Лъчезар Балтанов']",2017-09-10,Първа професионална лига - първи етап,Лъчезар Балтанов,0
283,Септември (София),2,0,win,Делио Роси,True,"['Давид Яблонски', 'Габриел Обертан']",2017-09-15,Първа професионална лига - първи етап,Давид Яблонски,0
284,Берое (Стара Загора),0,0,tie,Делио Роси,False,,2017-09-25,Първа професионална лига - първи етап,,0
285,Черно море (Варна),1,0,win,Делио Роси,True,"['Георги Илиев', 'Давид Яблонски']",2017-10-01,Първа професионална лига - първи етап,Георги Илиев,0
286,Етър ВТ (Велико Търново),1,0,win,Делио Роси,False,['Давид Яблонски'],2017-10-15,Първа професионална лига - първи етап,Давид Яблонски,0
287,ЦСКА-София (София),2,2,tie,Делио Роси,False,"['Давид Яблонски', 'Тиаго Родригеш', 'Тиаго Родригеш', 'Роман Прохазка']",2017-10-21,Първа професионална лига - първи етап,Тиаго Родригеш,0
288,Лудогорец 1945 (Разград),0,2,loss,Делио Роси,False,,2017-10-29,Първа професионална лига - първи етап,,0
289,Локомотив 1926 (Пловдив),1,0,win,Делио Роси,True,['Жорди Гомес'],2017-11-04,Първа професионална лига - първи етап,Жорди Гомес,0
290,Витоша (Бистрица),0,0,tie,Делио Роси,False,,2017-11-19,Първа професионална лига - първи етап,,0
291,Верея (Стара Загора),1,0,win,Делио Роси,True,['Давид Яблонски'],2017-11-25,Първа професионална лига - първи етап,Давид Яблонски,0
292,Дунав 2010 (Русе),4,0,win,Делио Роси,False,"['Васил Панайотов', 'Васил Панайотов', 'Жуниор Мапуку', 'Серджиу Буш']",2017-11-29,Първа професионална лига - първи етап,Васил Панайотов,0
293,Пирин (Благоевград),3,0,win,Делио Роси,True,"['Роман Прохазка', 'Жуниор Мапуку', 'Васил Панайотов']",2017-12-02,Първа професионална лига - първи етап,Роман Прохазка,0
294,Славия 1913 (София),1,1,tie,Делио Роси,False,"['Серджиу Буш', 'Андреа Христов']",2017-12-09,Първа професионална лига - първи етап,Серджиу Буш,0
295,Ботев (Пловдив),1,0,win,Делио Роси,True,['Пламен Димов (аг)'],2018-02-18,Първа професионална лига - първи етап,Пламен Димов (аг),0
296,Септември (София),4,1,win,Делио Роси,False,"['Станислав Костов', 'Станислав Костов', 'Габриел Обертан', 'Антони Иванов (д)', 'Габриел Обертан']",2018-02-24,Първа професионална лига - първи етап,Станислав Костов,1
297,Берое (Стара Загора),0,0,tie,Делио Роси,True,,2018-03-03,Първа професионална лига - първи етап,,0
298,Черно море (Варна),3,2,win,Делио Роси,False,"['Антонио Вутов', 'Радослав Василев', 'Паулиньо', 'Давид Яблонски', 'Радослав Василев']",2018-03-07,Първа професионална лига - първи етап,Радослав Василев,0
299,Етър ВТ (Велико Търново),1,1,tie,Делио Роси,True,"['Велко Батрович', 'Серджиу Буш', 'Филипе Насименто']",2018-03-11,Първа професионална лига - първи етап,Серджиу Буш,0
300,ЦСКА-София (София),0,1,loss,Делио Роси,False,,2018-03-18,Първа професионална лига - първи етап,,0
301,Берое (Стара Загора),1,2,loss,Делио Роси,True,"['Педро Еуженио', 'Роман Прохазка', 'Камен Хаджиев', 'Серджиу Буш']",2018-04-01,Първа професионална лига - втори етап,Серджиу Буш,0
302,Ботев (Пловдив),0,1,loss,Делио Роси,False,,2018-04-06,Първа професионална лига - втори етап,,0
303,Лудогорец 1945 (Разград),0,1,loss,Делио Роси,True,,2018-04-14,Първа професионална лига - втори етап,,0
304,ЦСКА-София (София),2,2,tie,Делио Роси,False,"['Фернандо Каранга (д)', 'Енрике', 'Иван Горанов', 'Паулиньо']",2018-04-18,Първа професионална лига - втори етап,Иван Горанов,1
305,Верея (Стара Загора),2,0,win,Делио Роси,True,"['Холмар Ейолфсон', 'Роман Прохазка']",2018-04-21,Първа професионална лига - втори етап,Холмар Ейолфсон,0
306,Берое (Стара Загора),4,0,win,Делио Роси,False,"['Давид Яблонски', 'Жорди Гомес', 'Роман Прохазка', 'Паулиньо']",2018-04-29,Първа професионална лига - втори етап,Паулиньо,0
307,Ботев (Пловдив),3,2,win,Делио Роси,True,"['Жоао Пауло', 'Стивън Петков', 'Паулиньо', 'Ривалдиньо', 'Паулиньо']",2018-05-04,Първа професионална лига - втори етап,Паулиньо,0
308,Лудогорец 1945 (Разград),2,2,tie,Делио Роси,False,"['Клаудиу Кешерю (д)', 'Роман Прохазка', 'Аймен Белаид', 'Йерсон Кабрал']",2018-05-12,Първа професионална лига - втори етап,Аймен Белаид,1
309,ЦСКА-София (София),2,3,loss,Делио Роси,False,"['Енрике', 'Паулиньо', 'Кристиян Малинов', 'Станислав Костов', 'Рубен Пинто']",2018-05-15,Първа професионална лига - втори етап,Станислав Костов,0
310,Верея (Стара Загора),2,0,win,Делио Роси,False,"['Паулиньо', 'Паулиньо']",2018-05-20,Първа професионална лига - втори етап,Паулиньо,0
311,"стадион ""Георги Аспарухов"" в София",4,1,win,Делио Роси,True,"['Габриел Обертан', 'Серджиу Буш', 'Мехди Фенуш', 'Васил Панайотов', 'Иван Горанов']",2018-05-24,Бараж за Лига Европа,Серджиу Буш,0
312,Ботев (Гълъбово),1,0,win,Делио Роси,False,['Антонио Вутов'],2017-09-19,Купа на България,Антонио Вутов,0
313,Монтана 1921 (Монтана),1,0,win,Делио Роси,True,['Даниел Георгиев (аг)'],2017-10-25,Купа на България,Даниел Георгиев (аг),0
314,Дунав 2010 (Русе),2,0,win,Делио Роси,False,"['Жуниор Мапуку', 'Йерсон Кабрал']",2017-12-15,Купа на България,Йерсон Кабрал,0
315,ЦСКА-София (София),2,0,win,Делио Роси,False,"['Серджиу Буш', 'Серджиу Буш']",2018-04-11,Купа на България,Серджиу Буш,0
316,ЦСКА-София (София),2,2,tie,Делио Роси,False,"['Жорди Гомес', 'Жан Карлос Бланко', 'Серджиу Буш', 'Роланд Алберг']",2018-04-25,Купа на България,Жан Карлос Бланко,0
317,Сутиеска (Никшич),3,1,win,Николай Митов,True,"['Жуниор Мапуку', 'Жуниор Мапуку', 'Роман Прохазка', 'Божо Маркович']",2017-06-29,Лига Европа,Жуниор Мапуку,0
318,Сутиеска (Никшич),0,0,tie,Николай Митов,False,,2017-07-06,Лига Европа,,0
319,Хайдук (Сплит),0,1,loss,Николай Митов,False,,2017-07-13,Лига Европа,,0
320,Хайдук (Сплит),1,2,loss,Николай Митов,True,"['Серджиу Буш', 'Франк Охандза', 'Анте Ерцег']",2017-07-20,Лига Европа,Серджиу Буш,0
321,Ботев (Пловдив),1,0,win,Тодор Симов,False,['Илия Димитров'],2018-07-21,Първа професионална лига - първи етап,Илия Димитров,0
322,Черно море (Варна),2,2,tie,Тодор Симов,True,"['Георги Илиев', 'Станислав Костов', 'Георги Божилов', 'Давиде Мариани']",2018-07-30,Първа професионална лига - първи етап,Станислав Костов,0
323,Ботев (Враца),2,0,win,Славиша Стоянович,False,"['Станислав Костов', 'Йерсон Кабрал']",2018-08-05,Първа професионална лига - първи етап,Станислав Костов,0
324,Дунав 2010 (Русе),2,1,win,Славиша Стоянович,False,"['Божидар Васев (д)', 'Йерсон Кабрал', 'Холмар Ейолфсон']",2018-08-11,Първа професионална лига - първи етап,Божидар Васев (д),1
325,Септември (София),2,0,win,Славиша Стоянович,True,"['Давиде Мариани', 'Станислав Костов']",2018-08-19,Първа професионална лига - първи етап,Станислав Костов,0
326,Етър ВТ (Велико Търново),2,1,win,Славиша Стоянович,False,"['Йерсон Кабрал', 'Станислав Костов', 'Флорент Бояй']",2018-08-25,Първа професионална лига - първи етап,Станислав Костов,0
327,Берое (Стара Загора),1,0,win,Славиша Стоянович,True,['Антони Белмонт'],2018-09-01,Първа професионална лига - първи етап,Антони Белмонт,0
328,Локомотив 1926 (Пловдив),0,1,loss,Славиша Стоянович,False,,2018-09-16,Първа професионална лига - първи етап,,0
329,Витоша (Бистрица),4,1,win,Славиша Стоянович,True,"['Давид Яблонски', 'Йерсон Кабрал', 'Паулиньо', 'Станислав Костов', 'Станислав Костов', 'Григор Долапчиев']",2018-09-21,Първа професионална лига - първи етап,Станислав Костов,0
330,ЦСКА-София (София),1,0,win,Славиша Стоянович,False,['В. Черняускас (аг)'],2018-09-29,Първа професионална лига - първи етап,В. Черняускас (аг),0
331,Славия 1913 (София),2,0,win,Славиша Стоянович,True,"['Станислав Костов', 'Станислав Костов']",2018-10-07,Първа професионална лига - първи етап,Станислав Костов,0
332,Лудогорец 1945 (Разград),1,2,loss,Славиша Стоянович,False,"['Джоди Лукоки', 'Вандерсон', 'Станислав Костов']",2018-10-20,Първа професионална лига - първи етап,Станислав Костов,0
333,Верея (Стара Загора),7,0,win,Славиша Стоянович,True,"['Нуно Реиш', 'Станислав Костов', 'Давиде Мариани', 'Станислав Костов', 'Давиде Мариани', 'Хали Тиам', 'Холмар Ейолфсон']",2018-10-26,Първа професионална лига - първи етап,Станислав Костов,0
334,Ботев (Пловдив),4,1,win,Славиша Стоянович,True,"['Станислав Костов', 'Антонио Вутов', 'Хали Тиам', 'Станислав Костов', 'Давиде Мариани']",2018-11-04,Първа професионална лига - първи етап,Станислав Костов,0
335,Черно море (Варна),0,1,loss,Славиша Стоянович,False,,2018-11-10,Първа професионална лига - първи етап,,0
336,Ботев (Враца),1,3,loss,Славиша Стоянович,True,"['Давиде Мариани', 'Валери Божинов (д)', 'Валери Божинов', 'Валери Домовчийски']",2018-11-25,Първа професионална лига - първи етап,Валери Божинов (д),1
337,Дунав 2010 (Русе),3,0,win,Небойша Милошевич,True,"['Йерсон Кабрал', 'Йерсон Кабрал', 'Станислав Костов']",2018-12-01,Първа професионална лига - първи етап,Йерсон Кабрал,0
338,Септември (София),2,2,tie,Славиша Стоянович,False,"['Станислав Костов', 'Иван Стоянов', 'Йерсон Кабрал', 'Мирослав Будинов']",2018-12-05,Първа професионална лига - първи етап,Станислав Костов,0
339,Етър ВТ (Велико Търново),2,1,win,Славиша Стоянович,True,"['Велко Батрович', 'Иван Скерлев (аг)', 'Серджиу Буш']",2018-12-08,Първа професионална лига - първи етап,Серджиу Буш,0
340,Берое (Стара Загора),1,2,loss,Славиша Стоянович,False,"['Мартин Камбуров', 'Габриел Обертан', 'Александър Василев']",2018-12-15,Първа професионална лига - първи етап,Мартин Камбуров,0
341,Локомотив 1926 (Пловдив),1,1,tie,Георги Дерменджиев,True,"['Анте Аралица', 'Давиде Мариани']",2019-02-17,Първа професионална лига - първи етап,Анте Аралица,0
342,Витоша (Бистрица),2,0,win,Георги Дерменджиев,False,"['Паулиньо', 'Станислав Костов']",2019-02-20,Първа професионална лига - първи етап,Станислав Костов,0
343,ЦСКА-София (София),1,0,win,Георги Дерменджиев,False,['Стивън Перейра (аг)'],2019-02-24,Първа професионална лига - първи етап,Стивън Перейра (аг),0
344,Славия 1913 (София),3,0,win,Георги Дерменджиев,False,"['Станислав Костов', 'Йерсон Кабрал', 'Давиде Мариани', 'Паулиньо']",2019-03-03,Първа професионална лига - първи етап,Станислав Костов,0
345,Лудогорец 1945 (Разград),0,2,loss,Георги Дерменджиев,True,,2019-03-10,Първа професионална лига - първи етап,,0
